MatchId,MatchResult,SeasonId,Team1,Team1Score,Team1_all_outs_conceded,Team2,Team2Score,Team2_all_outs_conceded,home_team_name
Match 24,Patna Pirates beat Dabang Delhi (39-22), Season 2,Patna Pirates,39.0,0.0,Dabang Delhi,22.0,0.0,
Match 25,U Mumba beat Dabang Delhi (27-22), Season 2,Dabang Delhi,22.0,1.0,U Mumba,27.0,0.0,
Match 26,Patna Pirates beat Puneri Paltan (32-28), Season 2,Patna Pirates,32.0,1.0,Puneri Paltan,28.0,0.0,
Match 27,Jaipur Pink Panthers beat Puneri Paltan (35-29), Season 2,Puneri Paltan,29.0,0.0,Jaipur Pink Panthers,35.0,0.0,
Match 28,Match Tied, Season 2,Patna Pirates,20.0,0.0,Bengal Warriors,20.0,0.0,
Match 29,Match Tied, Season 2,Telugu Titans,39.0,1.0,Jaipur Pink Panthers,39.0,1.0,
Match 30,U Mumba beat Dabang Delhi (29-25), Season 2,U Mumba,29.0,0.0,Dabang Delhi,25.0,1.0,
Match 31,Telugu Titans beat Bengal Warriors (44-28), Season 2,Telugu Titans,44.0,0.0,Bengal Warriors,28.0,0.0,
Match 32,Bengaluru Bulls beat Bengal Warriors (33-22), Season 2,Bengal Warriors,22.0,1.0,Bengaluru Bulls,33.0,0.0,
Match 33,Telugu Titans beat Patna Pirates (54-32), Season 2,Telugu Titans,54.0,0.0,Patna Pirates,32.0,0.0,
Match 34,Jaipur Pink Panthers beat U Mumba (35-25), Season 2,Jaipur Pink Panthers,35.0,0.0,U Mumba,25.0,0.0,
Match 35,Match Tied, Season 2,Telugu Titans,29.0,1.0,Puneri Paltan,29.0,1.0,
Match 36,Bengal Warriors beat Dabang Delhi (20-17), Season 2,Dabang Delhi,17.0,0.0,Bengal Warriors,20.0,0.0,
Match 37,Patna Pirates beat Bengaluru Bulls (30-28), Season 2,Patna Pirates,30.0,1.0,Bengaluru Bulls,28.0,1.0,
Match 38,U Mumba beat Bengal Warriors (31-17), Season 2,U Mumba,31.0,1.0,Bengal Warriors,17.0,1.0,
Match 39,Dabang Delhi beat Patna Pirates (45-26), Season 2,Dabang Delhi,45.0,0.0,Patna Pirates,26.0,1.0,
Match 40,Jaipur Pink Panthers beat Dabang Delhi (51-21), Season 2,Dabang Delhi,21.0,5.0,Jaipur Pink Panthers,51.0,0.0,
Match 41,Jaipur Pink Panthers beat Puneri Paltan (31-18), Season 2,Jaipur Pink Panthers,31.0,0.0,Puneri Paltan,18.0,2.0,
Match 42,Match Tied, Season 2,Dabang Delhi,45.0,0.0,Telugu Titans,45.0,1.0,
